,Unnamed: 0,Type,Segment ID,Segment Name,Activity Code,Activity Name,Entry Count,Activity Count,Code,Count
0,0.0,ATUS,0,00:00:00,1,personal care,0.8950479443057927,16,personal care,0.8950479443057927
1,1.0,ATUS,0,00:00:00,1,personal care,0.8950479443057927,16,"socializing, relaxing, and leisure",0.0673847366347037
2,2.0,ATUS,0,00:00:00,1,personal care,0.8950479443057927,16,work & work related activities,0.0130040719821358
3,3.0,ATUS,0,00:00:00,1,personal care,0.8950479443057927,16,traveling,0.0068304216471824
4,4.0,ATUS,0,00:00:00,1,personal care,0.8950479443057927,16,household activities,0.0045973991856035
5,5.0,ATUS,0,00:00:00,1,personal care,0.8950479443057927,16,eating and drinking,0.0034152108235912
6,6.0,ATUS,0,00:00:00,1,personal care,0.8950479443057927,16,no response,0.002101668199133
7,7.0,ATUS,0,00:00:00,1,personal care,0.8950479443057927,16,caring for household members,0.0019703139366872
8,8.0,ATUS,0,00:00:00,1,personal care,0.8950479443057927,16,telephone calls,0.0015762511493497
9,9.0,ATUS,0,00:00:00,1,personal care,0.8950479443057927,16,education,0.0011821883620123
10,10.0,ATUS,0,00:00:00,1,personal care,0.8950479443057927,16,caring for nonhousehold members,0.0010508340995665
11,11.0,ATUS,0,00:00:00,1,personal care,0.8950479443057927,16,"sports, exercise, and recreation",0.0005254170497832
12,12.0,ATUS,0,00:00:00,1,personal care,0.8950479443057927,16,religious and spiritual activities,0.0005254170497832
13,13.0,ATUS,0,00:00:00,1,personal care,0.8950479443057927,16,volunteer activities,0.0003940627873374
14,14.0,ATUS,0,00:00:00,1,personal care,0.8950479443057927,16,consumer purchases,0.0002627085248916
15,15.0,ATUS,0,00:00:00,1,personal care,0.8950479443057927,16,professional & personal care services,0.0001313542624458
16,16.0,ATUS,1,00:15:00,1,personal care,0.9152542372881356,16,personal care,0.9152542372881356
17,17.0,ATUS,1,00:15:00,1,personal care,0.9152542372881356,16,"socializing, relaxing, and leisure",0.0551181102362204
18,18.0,ATUS,1,00:15:00,1,personal care,0.9152542372881356,16,work & work related activities,0.0118777525690644
